Административный округ;Число комнат;Тип жилья;Этаж(номер);Высота потолков;Ближайшее метро
ЗАО;1;апарт.,;1/16;2,8 м;м. Давыдково
НАО (Новомосковский);1;апарт.,;1/2;2,8 м;Щербинка
НАО (Новомосковский);1;апарт.,;2/2;2,8 м;Щербинка
НАО (Новомосковский);1;апарт.,;2/2;2,8 м;Щербинка
СВАО;1;апарт.,;1/12;2,8 м;м. Бибирево
ЗАО;1;апарт.,;1/5;2,8 м;м. Филевский парк
НАО (Новомосковский);1;апарт.,;1/2;2,8 м;Щербинка
НАО (Новомосковский);1;апарт.,;2/2;2,8 м;Щербинка
ЮВАО;1;апарт.,;5/5;2,8 м;м. Текстильщики
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
САО;1;апарт.,;29/29;2,8 м;м. Речной вокзал
ЮАО;1;апарт.,;1/5;2,8 м;м. Автозаводская
ВАО;1;апарт.,;3/4;2,8 м;м. Щелковская
ЮЗАО;1;апарт.,;2/5;2,8 м;м. Зюзино
ЮВАО;1;апарт.,;5/5;2,8 м;м. Текстильщики
ЦАО;1;апарт.,;72/95;2,8 м;м. Деловой центр
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
ЮЗАО;1;апарт.,;1/17;2,8 м;м. Бунинская аллея
СВАО;1;апарт.,;6/6;2,8 м;м. Окружная
СВАО;1;no type;floor did not specified;2,8 м;м. Окружная
ЮЗАО;1;апарт.,;6/6;2,8 м;м. Калужская
СВАО;1;апарт.,;3/5;2,8 м;м. Окружная
СВАО;1;апарт.,;6/6;2,8 м;м. Окружная
ЗАО;1;апарт.,;1/5;2,8 м;м. Говорово
СВАО;1;апарт.,;6/6;2,8 м;м. Бутырская
НАО (Новомосковский);1;апарт.,;2/2;2,8 м;Щербинка
САО;1;комн.;floor did not specified;2,8 м;м. Речной вокзал
ЗАО;1;апарт.,;1/16;2,8 м;м. Давыдково
НАО (Новомосковский);1;апарт.,;1/2;2,8 м;Щербинка
НАО (Новомосковский);1;апарт.,;2/2;2,8 м;Щербинка
НАО (Новомосковский);1;апарт.,;2/2;2,8 м;Щербинка
СВАО;1;апарт.,;1/12;2,8 м;м. Бибирево
ЗАО;1;апарт.,;1/5;2,8 м;м. Филевский парк
НАО (Новомосковский);1;апарт.,;1/2;2,8 м;Щербинка
НАО (Новомосковский);1;апарт.,;2/2;2,8 м;Щербинка
ЮВАО;1;апарт.,;5/5;2,8 м;м. Текстильщики
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
САО;1;апарт.,;29/29;2,8 м;м. Речной вокзал
ЮАО;1;апарт.,;1/5;2,8 м;м. Автозаводская
ВАО;1;апарт.,;3/4;2,8 м;м. Щелковская
ЮЗАО;1;апарт.,;2/5;2,8 м;м. Зюзино
ЮВАО;1;апарт.,;5/5;2,8 м;м. Текстильщики
ЦАО;1;апарт.,;72/95;2,8 м;м. Деловой центр
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
ЮЗАО;1;апарт.,;1/17;2,8 м;м. Бунинская аллея
СВАО;1;апарт.,;6/6;2,8 м;м. Окружная
СВАО;1;no type;floor did not specified;2,8 м;м. Окружная
ЮЗАО;1;апарт.,;6/6;2,8 м;м. Калужская
СВАО;1;апарт.,;3/5;2,8 м;м. Окружная
СВАО;1;апарт.,;6/6;2,8 м;м. Окружная
ЗАО;1;апарт.,;1/5;2,8 м;м. Говорово
СВАО;1;апарт.,;6/6;2,8 м;м. Бутырская
НАО (Новомосковский);1;апарт.,;2/2;2,8 м;Щербинка
САО;1;комн.;floor did not specified;2,8 м;м. Речной вокзал
САО;1;апарт.,;1/4;2,8 м;м. Речной вокзал
ЮЗАО;1;апарт.,;3/5;2,8 м;м. Зюзино
ЦАО;1;апарт.,;1/4;2,8 м;м. Бауманская
ЮВАО;1;апарт.,;2/2;2,8 м;м. Нижегородская
СВАО;1;апарт.,;1/5;2,8 м;м. Бутырская
ЮАО;1;апарт.,;5/5;2,8 м;м. Автозаводская
ВАО;1;апарт.,;4/4;2,8 м;м. Щелковская
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
СВАО;1;апарт.,;1/5;2,8 м;м. Бутырская
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
ЮВАО;1;апарт.,;5/6;2,8 м;м. Кожуховская
ЮЗАО;1;апарт.,;1/4;2,8 м;м. Профсоюзная
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
ЮВАО;1;апарт.,;2/5;2,8 м;м. Текстильщики
ВАО;1;апарт.,;3/5;2,8 м;м. Измайлово
ВАО;1;апарт.,;5/5;2,8 м;м. Первомайская
ЮВАО;1;апарт.,;2/5;2,8 м;м. Текстильщики
ЮАО;1;апарт.,;1/5;2,8 м;м. Автозаводская
ВАО;1;апарт.,;4/6;2,8 м;м. Щелковская
ВАО;1;апарт.,;4/5;2,8 м;м. Первомайская
ВАО;1;апарт.,;4/4;2,8 м;м. Щелковская
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
ЮЗАО;1;апарт.,;3/3;2,8 м;м. Беляево
ЮВАО;1;апарт.,;3/4;2,8 м;м. Авиамоторная
ЗАО;1;апарт.,;2/10;2,8 м;м. Проспект Вернадского
ЮАО;1;апарт.,;3/5;2,8 м;м. Автозаводская
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
ВАО;1;апарт.,;3/5;2,8 м;м. Перово
